,ID,Plant_ID,Temp,OE_treatment,Milkweed,Lineage,OE_strain,PlotNum,ibutton,Surv_pupa,Surv_adult,PupalMass,Date_inoculated,Date_into_pint,PupalScore,Date_PupScore,Eclosion_Date,Sex,OE_tape_score,InfectionStatus,Death_date,Notes,Inoc_to_pupa,AdultLongevity,AvgOE_corner,OE_5ml,LogOE,ForewingLength.mm.,CtoN,CtoN_Jul
211,106a,106,ambient,control,tropical,A,C,29,T11,1,1,1.421,6/10/2021,6/23/2021,,,6/28/2021,M,0,0,7/23/2021,,13,25,NA,NA,NA,54.1,,
212,106b,106,ambient,control,tropical,A,C,29,T11,1,1,1.359,6/10/2021,6/23/2021,,,6/28/2021,M,0,0,7/16/2021,,13,18,NA,NA,NA,52.6,,
213,107a,107,ambient,infected,swamp,A,E6,29,T11,1,1,1.571,6/11/2021,6/25/2021,3,28-Jun,6/30/2021,M,NA,1,7/14/2021,,14,14,1.65,82500,4.916459213,54.8,10.49,
214,107b,107,ambient,infected,swamp,A,E6,29,T11,1,1,1.312,6/11/2021,6/25/2021,3,28-Jun,6/30/2021,F,NA,1,7/14/2021,,14,14,6,300000,5.477122702,52.5,10.49,
215,108a,108,ambient,control,swamp,C,C,29,T11,1,1,1.267,6/10/2021,6/26/2021,,,6/30/2021,F,0,0,7/16/2021,,16,16,NA,NA,NA,50,,
216,108b,108,ambient,control,swamp,C,C,29,T11,1,1,1.254,6/10/2021,6/26/2021,,,6/30/2021,F,0,0,7/23/2021,,16,23,NA,NA,NA,51.7,,
217,109a,109,elevated,infected,tropical,B,WV1,30,T19,1,1,1.361,6/11/2021,6/27/2021,1,29-Jun,7/1/2021,M,0,0,7/23/2021,,16,22,NA,NA,NA,52.4,,
218,109b,109,elevated,infected,tropical,B,WV1,30,T19,1,1,1.521,6/11/2021,6/27/2021,2,29-Jun,6/30/2021,M,NA,0,7/20/2021,,16,20,0,0,0,55.3,,
219,110a,110,elevated,control,tropical,C,C,30,T19,1,1,1.368,6/10/2021,6/27/2021,,,6/30/2021,M,0,0,7/25/2021,,17,25,NA,NA,NA,51.4,,
220,110b,110,elevated,control,tropical,C,C,30,T19,0,0,NA,6/10/2021,NA,,,,NA,NA,NA,NA,Only one individual observed 6/21; second missing during pupa check,NA,NA,NA,NA,NA,NA,,
221,111a,111,elevated,infected,swamp,B,E6,30,T19,1,1,1.379,6/11/2021,6/25/2021,0,28-Jun,6/29/2021,F,5,1,7/13/2021,,14,14,0.85,42500,4.628399149,54.8,10.14,
222,111b,111,elevated,infected,swamp,B,E6,30,T19,1,1,1.386,6/11/2021,6/25/2021,0,28-Jun,6/29/2021,F,5,1,7/19/2021,,14,20,0.35,17500,4.243062865,54.2,10.14,
